State,County,% Some College,% National 
Colorado,Alamosa,59,
Colorado,Arapahoe,72,
Colorado,Archuleta,62,
Colorado,Baca,73,
Colorado,Bent,33,
Colorado,Boulder,82,
Colorado,Broomfield,86,
Colorado,Chaffee,61,
Colorado,Cheyenne,60,
Colorado,Clear Creek,76,
Colorado,Conejos,61,
Colorado,Costilla,53,
Colorado,Crowley,34,
Colorado,Custer,64,
Colorado,Delta,44,
Colorado,Denver,73,
Colorado,Dolores,58,
Colorado,Douglas,89,
Colorado,Eagle,70,
Colorado,Elbert,74,
Colorado,El Paso,75,
Colorado,Fremont,41,
Colorado,Garfield,53,
Colorado,Gilpin,81,
Colorado,Grand,62,
Colorado,Gunnison,77,
Colorado,Hinsdale,70,
Colorado,Huerfano,61,
Colorado,Jackson,53,
Colorado,Jefferson,77,
Colorado,Kiowa,64,
Colorado,Kit Carson,43,
Colorado,Lake,53,
Colorado,La Plata,76,
Colorado,Larimer,80,
Colorado,Las Animas,58,
Colorado,Lincoln,23,
Colorado,Logan,56,
Colorado,Mesa,62,
Colorado,Mineral,74,
Colorado,Moffat,51,
Colorado,Montezuma,60,
Colorado,Montrose,53,
Colorado,Morgan,50,
Colorado,Otero,64,
Colorado,Ouray,79,
Colorado,Park,70,
Colorado,Phillips,57,
Colorado,Pitkin,77,
Colorado,Prowers,60,
Colorado,Pueblo,62,
Colorado,Rio Blanco,69,
Colorado,Rio Grande,59,
Colorado,Routt,75,
Colorado,Saguache,50,
Colorado,San Juan,54,
Colorado,San Miguel,77,
Colorado,Sedgwick,73,
Colorado,Summit,72,
Colorado,Teller,71,
Colorado,Washington,73,
Colorado,Weld,63,
Colorado,Yuma,63,
Connecticut,Fairfield,70,
Connecticut,Hartford,69,
Connecticut,Litchfield,69,
Connecticut,Middlesex,75,
Connecticut,New Haven,66,
Connecticut,New London,66,
Connecticut,Tolland,75,
Connecticut,Windham,62,
Delaware,Kent,60,
Delaware,New Castle,66,
Delaware,Sussex,52,
District of Columbia,District of Columbia,81,
Florida,Alachua,76,
Florida,Baker,44,
Florida,Bay,60,
Florida,Bradford,39,
Florida,Brevard,67,
Florida,Broward,67,
Florida,Calhoun,43,
Florida,Charlotte,53,
Florida,Citrus,47,
Florida,Clay,65,
Florida,Collier,50,
Florida,Columbia,51,
Florida,DeSoto,23,
Florida,Dixie,35,
Florida,Duval,66,
Florida,Escambia,68,
Florida,Flagler,60,
Florida,Franklin,38,
Florida,Gadsden,42,
Florida,Gilchrist,51,
Florida,Glades,33,
Florida,Gulf,49,
Florida,Hamilton,34,
Florida,Hardee,23,
Florida,Hendry,32,
Florida,Hernando,55,
Florida,Highlands,42,
Florida,Hillsborough,66,
Florida,Holmes,35,
Florida,Indian River,56,
Florida,Jackson,44,
Florida,Jefferson,37,
Florida,Lafayette,36,
Florida,Lake,58,
Florida,Lee,53,
Florida,Leon,79,
Florida,Levy,42,
Florida,Liberty,33,
Florida,Madison,44,
Florida,Manatee,55,
Florida,Marion,50,
Florida,Martin,57,
Florida,Miami-Dade,61,
Florida,Monroe,62,
Florida,Nassau,60,
Florida,Okaloosa,68,
Florida,Okeechobee,34,
Florida,Orange,68,
Florida,Osceola,59,
Florida,Palm Beach,63,
Florida,Pasco,63,
Florida,Pinellas,66,
Florida,Polk,51,
Florida,Putnam,40,
Florida,St. Johns,78,
Florida,St. Lucie,54,
Florida,Santa Rosa,66,
Florida,Sarasota,59,
Florida,Seminole,77,
Florida,Sumter,41,
Florida,Suwannee,39,
Florida,Taylor,46,
Florida,Union,34,
Florida,Volusia,59,
Florida,Wakulla,50,
Florida,Walton,56,
Florida,Washington,45,
Georgia,Appling,39,
Georgia,Atkinson,36,
Georgia,Bacon,42,
Georgia,Baker,50,
Georgia,Baldwin,52,
Georgia,Banks,44,
Georgia,Barrow,56,
Georgia,Bartow,53,
Georgia,Ben Hill,50,
Georgia,Berrien,43,
Georgia,Bibb,59,
Georgia,Bleckley,49,
Georgia,Brantley,33,
Georgia,Brooks,50,
Georgia,Bryan,70,
Georgia,Bulloch,71,
Georgia,Burke,53,
Georgia,Butts,35,
Georgia,Calhoun,34,
Georgia,Camden,63,
Georgia,Candler,45,
Georgia,Carroll,54,
Georgia,Catoosa,64,
Georgia,Charlton,33,
Georgia,Chatham,69,
Georgia,Chattahoochee,74,
Georgia,Chattooga,36,
Georgia,Cherokee,71,
Georgia,Clarke,71,
Georgia,Clay,33,
Georgia,Clayton,53,
Georgia,Clinch,47,
Georgia,Cobb,74,
Georgia,Coffee,42,
Georgia,Colquitt,37,
Georgia,Columbia,75,
Georgia,Cook,51,
Georgia,Coweta,64,
Georgia,Crawford,66,
Georgia,Crisp,51,
Georgia,Dade,55,
Georgia,Dawson,61,
Georgia,Decatur,50,
Georgia,DeKalb,70,
Georgia,Dodge,47,
Georgia,Dooly,34,
Georgia,Dougherty,59,
Georgia,Douglas,64,
Georgia,Early,62,
Georgia,Echols,43,
Georgia,Effingham,57,
Georgia,Elbert,37,
Georgia,Emanuel,40,
Georgia,Evans,46,
Georgia,Fannin,45,
Georgia,Fayette,78,
Georgia,Floyd,53,
Georgia,Forsyth,79,
Georgia,Franklin,43,
Georgia,Fulton,76,
Georgia,Gilmer,43,
Georgia,Glascock,47,
Georgia,Glynn,59,
Georgia,Gordon,47,
Georgia,Grady,48,
Georgia,Greene,39,
Georgia,Gwinnett,64,
Georgia,Habersham,44,
Georgia,Hall,49,
Georgia,Hancock,21,
Georgia,Haralson,49,
Georgia,Harris,70,
Georgia,Hart,48,
Georgia,Heard,43,
Georgia,Henry,65,
Georgia,Houston,66,
Georgia,Irwin,45,
Georgia,Jackson,55,
Georgia,Jasper,40,
Georgia,Jeff Davis,42,
Georgia,Jefferson,36,
Georgia,Jenkins,48,
Georgia,Johnson,35,
Georgia,Jones,60,
Georgia,Lamar,55,
Georgia,Lanier,52,
Georgia,Laurens,46,
Georgia,Lee,67,
Georgia,Liberty,66,
Georgia,Lincoln,47,
Georgia,Long,65,
Georgia,Lowndes,61,
Georgia,Lumpkin,55,
Georgia,McDuffie,48,
Georgia,McIntosh,55,
Georgia,Macon,42,
Georgia,Madison,50,
Georgia,Marion,55,
Georgia,Meriwether,39,
Georgia,Miller,57,
Georgia,Mitchell,41,
Georgia,Monroe,55,
Georgia,Montgomery,52,
Georgia,Morgan,57,
Georgia,Murray,35,
Georgia,Muscogee,65,
Georgia,Newton,59,
Georgia,Oconee,79,
Georgia,Oglethorpe,49,
Georgia,Paulding,65,
Georgia,Peach,63,
Georgia,Pickens,53,
Georgia,Pierce,49,
Georgia,Pike,53,
Georgia,Polk,44,
Georgia,Pulaski,42,
Georgia,Putnam,48,
Georgia,Quitman,37,
Georgia,Rabun,40,
Georgia,Randolph,48,
Georgia,Richmond,57,
Georgia,Rockdale,56,
Georgia,Schley,58,
Georgia,Screven,52,
Georgia,Seminole,48,
Georgia,Spalding,47,
Georgia,Stephens,53,
Georgia,Stewart,28,
Georgia,Sumter,53,
Georgia,Talbot,49,
Georgia,Taliaferro,18,
Georgia,Tattnall,34,
Georgia,Taylor,46,
Georgia,Telfair,25,
Georgia,Terrell,47,
Georgia,Thomas,61,
Georgia,Tift,53,
Georgia,Toombs,44,
Georgia,Towns,62,
Georgia,Treutlen,47,
Georgia,Troup,52,
Georgia,Turner,37,
Georgia,Twiggs,52,
Georgia,Union,47,
Georgia,Upson,49,
Georgia,Walker,52,
Georgia,Walton,52,
Georgia,Ware,44,
Georgia,Warren,38,
Georgia,Washington,44,
Georgia,Wayne,48,
Georgia,Webster,41,
Georgia,Wheeler,31,
Georgia,White,50,
Georgia,Whitfield,42,
Georgia,Wilcox,29,
Georgia,Wilkes,38,
Georgia,Wilkinson,35,
Georgia,Worth,45,
Hawaii,Hawaii,58,
Hawaii,Honolulu,72,
Hawaii,Kalawao,81,
Hawaii,Kauai,60,
Hawaii,Maui,61,
Idaho,Ada,74,
Idaho,Adams,48,
Idaho,Bannock,67,
Idaho,Bear Lake,53,
Idaho,Benewah,42,
Idaho,Bingham,64,
Idaho,Blaine,53,
Idaho,Boise,63,
Idaho,Bonner,58,
Idaho,Bonneville,67,
Idaho,Boundary,46,
Idaho,Butte,67,
Idaho,Camas,49,
Idaho,Canyon,54,
Idaho,Caribou,60,
Idaho,Cassia,51,
Idaho,Clark,44,
Idaho,Clearwater,54,
Idaho,Custer,70,
Idaho,Elmore,60,
Idaho,Franklin,53,
Idaho,Fremont,54,
Idaho,Gem,47,
Idaho,Gooding,44,
Idaho,Idaho,53,
Idaho,Jefferson,65,
Idaho,Jerome,41,
Idaho,Kootenai,66,
Idaho,Latah,84,
Idaho,Lemhi,61,
Idaho,Lewis,61,
Idaho,Lincoln,37,
Idaho,Madison,85,
Idaho,Minidoka,48,
Idaho,Nez Perce,67,
Idaho,Oneida,52,
Idaho,Owyhee,39,
Idaho,Payette,53,
Idaho,Power,48,
Idaho,Shoshone,50,
Idaho,Teton,76,
Idaho,Twin Falls,62,
Idaho,Valley,75,
Idaho,Washington,48,
Illinois,Adams,67,
Illinois,Alexander,44,
Illinois,Bond,57,
Illinois,Boone,58,
Illinois,Brown,48,
Illinois,Bureau,59,
Illinois,Calhoun,68,
Illinois,Carroll,56,
Illinois,Cass,44,
Illinois,Champaign,80,
Illinois,Christian,56,
Illinois,Clark,67,
Illinois,Clay,59,
Illinois,Clinton,65,
Illinois,Coles,68,
Illinois,Cook,70,
Illinois,Crawford,63,
Illinois,Cumberland,57,
Illinois,DeKalb,76,
Illinois,De Witt,61,
Illinois,Douglas,53,
Illinois,DuPage,78,
Illinois,Edgar,61,
Illinois,Edwards,64,
Illinois,Effingham,65,
Illinois,Fayette,50,
Illinois,Ford,62,
Illinois,Franklin,64,
Illinois,Fulton,61,
Illinois,Gallatin,58,
Illinois,Greene,50,
Illinois,Grundy,66,
Illinois,Hamilton,71,
Illinois,Hancock,62,
Illinois,Hardin,59,
Illinois,Henderson,57,
Illinois,Henry,64,
Illinois,Iroquois,56,
Illinois,Jackson,76,
Illinois,Jasper,66,
Illinois,Jefferson,57,
Illinois,Jersey,69,
Illinois,Jo Daviess,64,
Illinois,Johnson,48,
Illinois,Kane,61,
Illinois,Kankakee,60,
Illinois,Kendall,74,
Illinois,Knox,56,
Illinois,Lake,69,
Illinois,LaSalle,59,
Illinois,Lawrence,48,
Illinois,Lee,61,
Illinois,Livingston,51,
Illinois,Logan,62,
Illinois,McDonough,69,
Illinois,McHenry,71,
Illinois,McLean,78,
Illinois,Macon,65,
Illinois,Macoupin,63,
Illinois,Madison,71,
Illinois,Marion,62,
Illinois,Marshall,61,
Illinois,Mason,52,
Illinois,Massac,64,
Illinois,Menard,64,
Illinois,Mercer,65,
Illinois,Monroe,78,
Illinois,Montgomery,56,
Illinois,Morgan,60,
Illinois,Moultrie,64,
Illinois,Ogle,64,
Illinois,Peoria,71,
Illinois,Perry,47,
Illinois,Piatt,74,
Illinois,Pike,56,
Illinois,Pope,58,
Illinois,Pulaski,58,
Illinois,Putnam,58,
Illinois,Randolph,48,
Illinois,Richland,66,
Illinois,Rock Island,64,
Illinois,St. Clair,67,
Illinois,Saline,64,
Illinois,Sangamon,71,
Illinois,Schuyler,66,
Illinois,Scott,51,
Illinois,Shelby,59,
Illinois,Stark,58,
Illinois,Stephenson,65,
Illinois,Tazewell,70,
Illinois,Union,61,
Illinois,Vermilion,51,
Illinois,Wabash,64,
Illinois,Warren,60,
Illinois,Washington,73,
Illinois,Wayne,62,
Illinois,White,64,
Illinois,Whiteside,62,
Illinois,Will,69,
Illinois,Williamson,68,
Illinois,Winnebago,60,
Illinois,Woodford,74,
Indiana,Adams,49,
Indiana,Allen,66,
Indiana,Bartholomew,64,
Indiana,Benton,56,
Indiana,Blackford,51,
Indiana,Boone,78,
Indiana,Brown,59,
Indiana,Carroll,51,
Indiana,Cass,47,
Indiana,Clark,63,
Indiana,Clay,58,
Indiana,Clinton,47,
Indiana,Crawford,39,
Indiana,Daviess,41,
Indiana,Dearborn,58,
Indiana,Decatur,62,
Indiana,DeKalb,57,
Indiana,Delaware,66,
Indiana,Dubois,63,
Indiana,Elkhart,48,
Indiana,Fayette,49,
Indiana,Floyd,67,
Indiana,Fountain,56,
Indiana,Franklin,56,
Indiana,Fulton,57,
Indiana,Gibson,62,
Indiana,Grant,53,
Indiana,Greene,55,
Indiana,Hamilton,87,
Indiana,Hancock,71,
Indiana,Harrison,54,
Indiana,Hendricks,76,
Indiana,Henry,53,
Indiana,Howard,60,
Indiana,Huntington,54,
Indiana,Jackson,53,
Indiana,Jasper,56,
Indiana,Jay,44,
Indiana,Jefferson,50,
Indiana,Jennings,49,
Indiana,Johnson,69,
Indiana,Knox,61,
Indiana,Kosciusko,55,
Indiana,LaGrange,29,
Indiana,Lake,62,
Indiana,LaPorte,53,
Indiana,Lawrence,58,
Indiana,Madison,56,
Indiana,Marion,62,
Indiana,Marshall,52,
Indiana,Martin,58,
Indiana,Miami,49,
Indiana,Monroe,77,
Indiana,Montgomery,56,
Indiana,Morgan,55,
Indiana,Newton,50,
Indiana,Noble,50,
Indiana,Ohio,58,
Indiana,Orange,47,
Indiana,Owen,49,
Indiana,Parke,48,
Indiana,Perry,48,
Indiana,Pike,52,
Indiana,Porter,68,
Indiana,Posey,71,
Indiana,Pulaski,50,
Indiana,Putnam,49,
Indiana,Randolph,54,
Indiana,Ripley,58,
Indiana,Rush,45,
Indiana,St. Joseph,65,
Indiana,Scott,50,
Indiana,Shelby,52,
Indiana,Spencer,58,
Indiana,Starke,48,
Indiana,Steuben,60,
Indiana,Sullivan,51,
Indiana,Switzerland,47,
Indiana,Tippecanoe,72,
Indiana,Tipton,58,
Indiana,Union,46,
Indiana,Vanderburgh,66,
Indiana,Vermillion,54,
Indiana,Vigo,62,
Indiana,Wabash,57,
Indiana,Warren,56,
Indiana,Warrick,72,
Indiana,Washington,47,
Indiana,Wayne,58,
Indiana,Wells,61,
Indiana,White,59,
Indiana,Whitley,61,
Iowa,Adair,61,
Iowa,Adams,70,
Iowa,Allamakee,62,
Iowa,Appanoose,70,
Iowa,Audubon,63,
Iowa,Benton,70,
Iowa,Black Hawk,69,
Iowa,Boone,67,
Iowa,Bremer,78,
Iowa,Buchanan,68,
Iowa,Buena Vista,52,
Iowa,Butler,68,
Iowa,Calhoun,69,
Iowa,Carroll,74,
Iowa,Cass,60,
Iowa,Cedar,70,
Iowa,Cerro Gordo,71,
Iowa,Cherokee,69,
Iowa,Chickasaw,65,
Iowa,Clarke,55,
Iowa,Clay,66,
Iowa,Clayton,60,
Iowa,Clinton,66,
Iowa,Crawford,48,
Iowa,Dallas,85,
Iowa,Davis,62,
Iowa,Decatur,52,
Iowa,Delaware,61,
Iowa,Des Moines,69,
Iowa,Dickinson,75,
Iowa,Dubuque,74,
Iowa,Emmet,73,
Iowa,Fayette,66,
Iowa,Floyd,65,
Iowa,Franklin,51,
Iowa,Fremont,73,
Iowa,Greene,68,
Iowa,Grundy,78,
Iowa,Guthrie,70,
Iowa,Hamilton,72,
Iowa,Hancock,69,
Iowa,Hardin,70,
Iowa,Harrison,71,
Iowa,Henry,63,
Iowa,Howard,65,
Iowa,Humboldt,63,
Iowa,Ida,76,
Iowa,Iowa,71,
Iowa,Jackson,67,
Iowa,Jasper,62,
Iowa,Jefferson,77,
Iowa,Johnson,83,
Iowa,Jones,64,
Iowa,Keokuk,71,
Iowa,Kossuth,71,
Iowa,Lee,63,
Iowa,Linn,76,
Iowa,Louisa,52,
Iowa,Lucas,66,
Iowa,Lyon,72,
Iowa,Madison,76,
Iowa,Mahaska,64,
Iowa,Marion,75,
Iowa,Marshall,53,
Iowa,Mills,62,
Iowa,Mitchell,63,
Iowa,Monona,66,
Iowa,Monroe,59,
Iowa,Montgomery,58,
Iowa,Muscatine,60,
Iowa,O'Brien,65,
Iowa,Osceola,58,
Iowa,Page,63,
Iowa,Palo Alto,78,
Iowa,Plymouth,71,
Iowa,Pocahontas,71,
Iowa,Polk,72,
Iowa,Pottawattamie,64,
Iowa,Poweshiek,68,
Iowa,Ringgold,68,
Iowa,Sac,71,
Iowa,Scott,69,
Iowa,Shelby,72,
Iowa,Sioux,68,
Iowa,Story,86,
Iowa,Tama,62,
Iowa,Taylor,56,
Iowa,Union,62,
Iowa,Van Buren,57,
Iowa,Wapello,61,
Iowa,Warren,76,
Iowa,Washington,62,
Iowa,Wayne,55,
Iowa,Webster,67,
Iowa,Winnebago,65,
Iowa,Winneshiek,82,
Iowa,Woodbury,60,
Iowa,Worth,63,
Iowa,Wright,61,
Kansas,Allen,65,
Kansas,Anderson,64,
Kansas,Atchison,64,
Kansas,Barber,56,
Kansas,Barton,56,
Kansas,Bourbon,60,
Kansas,Brown,59,
Kansas,Butler,73,
Kansas,Chase,68,
Kansas,Chautauqua,56,
Kansas,Cherokee,64,
Kansas,Cheyenne,65,
Kansas,Clark,68,
Kansas,Clay,72,
Kansas,Cloud,66,
Kansas,Coffey,66,
Kansas,Comanche,62,
Kansas,Cowley,61,
Kansas,Crawford,71,
Kansas,Decatur,63,
Kansas,Dickinson,64,
Kansas,Doniphan,59,
Kansas,Douglas,83,
Kansas,Edwards,61,
Kansas,Elk,54,
Kansas,Ellis,81,
Kansas,Ellsworth,57,
Kansas,Finney,50,
Kansas,Ford,45,
Kansas,Franklin,62,
Kansas,Geary,73,
Kansas,Gove,63,
Kansas,Graham,68,
Kansas,Grant,37,
Kansas,Gray,60,
Kansas,Greeley,64,
Kansas,Greenwood,69,
Kansas,Hamilton,42,
Kansas,Harper,55,
Kansas,Harvey,69,
Kansas,Haskell,45,
Kansas,Hodgeman,71,
Kansas,Jackson,69,
Kansas,Jefferson,63,
Kansas,Jewell,68,
Kansas,Johnson,84,
Kansas,Kearny,51,
Kansas,Kingman,70,
Kansas,Kiowa,73,
Kansas,Labette,58,
Kansas,Lane,69,
Kansas,Leavenworth,69,
Kansas,Lincoln,75,
Kansas,Linn,60,
Kansas,Logan,66,
Kansas,Lyon,65,
Kansas,McPherson,72,
Kansas,Marion,65,
Kansas,Marshall,65,
Kansas,Meade,49,
Kansas,Miami,68,
Kansas,Mitchell,78,
Kansas,Montgomery,67,
Kansas,Morris,60,
Kansas,Morton,42,
Kansas,Nemaha,76,
Kansas,Neosho,68,
Kansas,Ness,63,
Kansas,Norton,56,
Kansas,Osage,62,
Kansas,Osborne,63,
Kansas,Ottawa,64,
Kansas,Pawnee,57,
Kansas,Phillips,70,
Kansas,Pottawatomie,73,
Kansas,Pratt,71,
Kansas,Rawlins,77,
Kansas,Reno,60,
Kansas,Republic,74,
Kansas,Rice,64,
Kansas,Riley,84,
Kansas,Rooks,73,
Kansas,Rush,71,
Kansas,Russell,68,
Kansas,Saline,60,
Kansas,Scott,59,
Kansas,Sedgwick,68,
Kansas,Seward,39,
Kansas,Shawnee,66,
Kansas,Sheridan,69,
Kansas,Sherman,75,
Kansas,Smith,74,
Kansas,Stafford,59,
Kansas,Stanton,61,
Kansas,Stevens,57,
Kansas,Sumner,67,
Kansas,Thomas,77,
Kansas,Trego,75,
Kansas,Wabaunsee,73,
Kansas,Wallace,73,
Kansas,Washington,66,
Kansas,Wichita,45,
Kansas,Wilson,60,
Kansas,Woodson,66,
Kansas,Wyandotte,48,
Kentucky,Adair,49,
Kentucky,Allen,48,
Kentucky,Anderson,58,
Kentucky,Ballard,60,
Kentucky,Barren,51,
Kentucky,Bath,47,
Kentucky,Bell,42,
Kentucky,Boone,75,
Kentucky,Bourbon,57,
Kentucky,Boyd,65,
Kentucky,Boyle,59,
Kentucky,Bracken,51,
Kentucky,Breathitt,50,
Kentucky,Breckinridge,41,
Kentucky,Bullitt,57,
Kentucky,Butler,43,
Kentucky,Caldwell,62,
Kentucky,Calloway,64,
Kentucky,Campbell,71,
Kentucky,Carlisle,54,
Kentucky,Carroll,35,
Kentucky,Carter,57,
Kentucky,Casey,42,
Kentucky,Christian,59,
Kentucky,Clark,60,
Kentucky,Clay,37,
Kentucky,Clinton,42,
Kentucky,Crittenden,55,
Kentucky,Cumberland,60,
Kentucky,Daviess,63,
Kentucky,Edmonson,52,
Kentucky,Elliott,36,
Kentucky,Estill,44,
Kentucky,Fayette,76,
Kentucky,Fleming,55,
Kentucky,Floyd,51,
Kentucky,Franklin,61,
Kentucky,Fulton,53,
Kentucky,Gallatin,45,
Kentucky,Garrard,51,
Kentucky,Grant,49,
Kentucky,Graves,53,
Kentucky,Grayson,45,
Kentucky,Green,47,
Kentucky,Greenup,66,
Kentucky,Hancock,54,
Kentucky,Hardin,69,
Kentucky,Harlan,50,
Kentucky,Harrison,52,
Kentucky,Hart,43,
Kentucky,Henderson,60,
Kentucky,Henry,45,
Kentucky,Hickman,44,
Kentucky,Hopkins,53,
Kentucky,Jackson,40,
Kentucky,Jefferson,69,
Kentucky,Jessamine,63,
Kentucky,Johnson,60,
Kentucky,Kenton,69,
Kentucky,Knott,49,
Kentucky,Knox,39,
Kentucky,Larue,56,
Kentucky,Laurel,48,
Kentucky,Lawrence,47,
Kentucky,Lee,41,
Kentucky,Leslie,44,
Kentucky,Letcher,49,
Kentucky,Lewis,47,
Kentucky,Lincoln,46,
Kentucky,Livingston,38,
Kentucky,Logan,54,
Kentucky,Lyon,43,
Kentucky,McCracken,63,
Kentucky,McCreary,37,
Kentucky,McLean,57,
Kentucky,Madison,69,
Kentucky,Magoffin,51,
Kentucky,Marion,45,
Kentucky,Marshall,63,
Kentucky,Martin,44,
