ANLY_CN,DADA_CN,ESUN_CN,H,I,SUBUNIT_TYPE,ESTN_SCOPE,SAMP_METH,A_M,P_BAR_M,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE
376862523489998,376861398489998,376862184489998,376849152489998,218220311020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862184489998,376849152489998,282497033489998,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862184489998,376849152489998,282497501489998,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862184489998,376849152489998,218220797020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862184489998,376849152489998,282497273489998,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862184489998,376849152489998,218220801020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862184489998,376849152489998,282496958489998,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862184489998,376849152489998,282497332489998,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,252279649010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,252279778010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,259266839010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,87095531020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,87095291020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,282497575489998,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,87095558020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,252279776010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,252279790010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,252279673010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,259266679010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,252279639010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,252279714010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,218220828020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,218220810020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862185489998,376849157489998,252279842010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862186489998,376849164489998,3501916010945,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862186489998,376849164489998,252279366010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862186489998,376849164489998,218220942020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862186489998,376849165489998,87095741020004,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
376862523489998,376861398489998,376862186489998,376849165489998,259266298010854,SUBPLOT,SAMP AREA,post-stratification,0.166166884156816,1,LOGIN_DATIM,2/1/2017 2:05:06 PM,195144
